E0, Erec, Ee', pex, pey, pez, Ep, ppx, ppy, ppz 
1.62465,1.53754,1.32605,0.512207,0.165132,1.21193,1.14977,-0.617357,-0.110531,-0.219711
1.8768,1.57372,1.22502,-0.331337,0.0810624,1.17658,1.28696,0.3651,0.0969967,0.795747
2.80147,1.66089,1.58109,0.652723,0.10871,1.43595,1.01808,0.0636689,0.253229,0.296554
1.54049,1.4981,1.35931,-0.320583,0.181179,1.30848,1.07706,0.448938,-0.184931,0.209655
2.01398,1.82767,1.63318,-0.190737,0.381235,1.57656,1.13276,0.574356,-0.22732,0.145746
2.71658,1.7459,1.15175,-0.00306358,-0.322978,1.10553,1.53242,-0.256744,0.503406,1.07174
2.05702,1.96218,1.87326,-0.256024,0.461971,1.79725,1.02719,0.144813,-0.0669862,0.386408
1.75128,1.709,1.55152,0.0783425,0.419939,1.49155,1.09575,-0.139054,-0.39965,0.375846
3.9659,2.35767,2.29355,0.467542,-0.636937,2.15315,1.00239,-0.197198,0.272783,0.105534
1.41312,1.37189,1.3029,0.109529,-0.444533,1.21982,1.00726,-0.0928355,0.333112,0.121004
1.26521,1.2232,1.14871,-0.347165,0.0856373,1.09164,1.01276,0.309718,-0.1935,0.109333
2.00129,1.95889,1.75462,-0.474396,0.174598,1.68022,1.14255,0.590353,-0.15038,0.232232
1.64614,1.1642,1.11599,-0.127974,-0.317036,1.06233,0.98648,0.252041,0.024432,0.16931
2.52503,2.48399,2.31451,0.29265,-0.526133,2.23484,1.10775,-0.275342,0.461763,0.240241
1.31736,1.27491,1.21269,-0.0141959,0.324496,1.16838,1.0005,0.0163268,-0.224954,0.264136
1.23545,1.18103,1.1304,0.0942308,0.321808,1.07952,0.988901,0.0913402,-0.159988,0.252251
2.44133,1.54847,1.2129,0.384099,-0.288349,1.11376,1.27384,0.235868,0.151236,0.81475
1.33424,1.29263,1.14629,-0.326814,0.300945,1.0567,1.08461,0.404475,-0.278596,0.234093
2.67006,2.56677,2.21868,0.150182,0.608491,2.12832,1.28636,-0.391866,-0.768509,0.173815
1.49978,1.17102,1.11323,-0.25851,-0.154808,1.07168,0.996061,0.220054,-0.146639,0.20459
1.95953,1.91789,1.23923,0.806974,0.183144,0.922463,1.61693,-0.817224,-0.0676374,1.03038
2.04338,1.66543,1.60353,0.177787,-0.397206,1.54335,1.00017,-0.135284,-0.0485545,0.315176
1.96228,1.92062,1.69845,0.336956,-0.376618,1.62153,1.16044,-0.347692,0.428513,0.402189
1.61494,1.57396,1.37641,0.126052,0.55685,1.25242,1.13581,-0.100764,-0.52361,0.354112
1.37351,1.33208,1.26264,-0.160354,0.309637,1.21354,1.00772,0.202914,-0.245037,0.184172
2.11498,2.07332,1.8959,0.1885,0.511044,1.81596,1.1157,-0.213549,-0.531624,0.190269
2.52081,1.40937,1.34114,0.377528,-0.295496,1.25253,1.0065,-0.115091,0.328985,0.105894
1.37794,1.26284,1.20234,-0.0185546,0.36061,1.14684,0.99877,0.138729,-0.301114,0.085279
1.95806,1.52894,1.35198,0.551103,0.115531,1.22914,1.11523,-0.471225,-0.054047,0.372036
3.80615,3.01479,2.53144,-0.011832,0.839085,2.3883,1.42163,-0.373618,-0.530365,0.848403
3.13031,2.48908,2.4308,-0.0958614,-0.709493,2.32298,0.996545,0.311802,-0.123859,0.0136454
1.70048,1.65898,1.59349,-0.0768521,0.431661,1.53199,1.00376,0.130189,-0.304897,0.131406
2.14362,2.0192,1.90542,-0.0243918,0.501097,1.83819,1.05205,-0.382718,-0.281879,0.0230364
1.29875,1.25648,1.12782,0.1555,-0.383728,1.04907,1.06693,-0.209177,0.443329,0.132964
2.11739,1.53867,1.4877,-0.318626,0.360037,1.40787,0.989236,0.150615,-0.220164,0.164547
2.32566,1.54176,1.11711,-0.481193,-0.247697,0.977258,1.36292,0.307104,0.00975608,0.939573
1.93234,1.89461,1.64551,0.299345,0.317879,1.58653,1.18737,-0.281568,-0.518525,0.425837
2.27776,2.23535,2.0313,-0.702918,0.000747474,1.9058,1.14233,0.516255,0.0594989,0.393061
2.58276,1.93664,1.78114,0.540932,-0.039671,1.69655,1.09377,0.489734,-0.271513,-0.0492199
1.49986,1.42189,1.36719,0.367812,0.0146841,1.3167,0.992978,-0.157635,0.01067,-0.284055
1.51459,1.47331,1.36762,-0.470198,-0.0624365,1.28273,1.04396,0.385835,0.119573,0.215251
2.08105,1.97146,1.89767,-0.487731,-0.364231,1.79739,1.01207,0.27416,0.19013,0.18058
1.84183,1.55285,1.41373,-0.310697,0.423799,1.31244,1.07739,0.0361865,-0.426018,0.312424
2.40658,2.36551,2.14134,-0.225068,0.575195,2.05033,1.16244,0.209405,-0.53133,0.38046
3.48296,1.36958,1.31778,0.032992,-0.347352,1.27075,0.990073,-0.0938586,-0.283489,0.103512
3.49931,3.15926,2.43358,0.527208,-0.448013,2.33316,1.66395,-0.64609,0.087732,1.20964
1.41946,1.37502,1.21651,0.10134,-0.3229,1.16849,1.09678,0.0681095,0.438191,0.354866
2.41908,2.06748,1.84338,0.219696,-0.432978,1.77829,1.16237,0.11184,0.659856,0.151107
